0,00100212314225053
0,000141542816702052
0,00035102618542109
0,000141542816702052
0,00100778485491861
0,000322717622080679
0,000928520877565464
0,0015796178343949
7,92639773531493E-05
0,00130785562632696
0,000492569002123142
1,69851380042463E-05
0,000577494692144374
0,00086624203821656
2,26468506723284E-05
7,92639773531493E-05
0,000713375796178344
0,000645435244161359
9,62491153573956E-05
0,00271762208067941
0,00386694975230007
0,000362349610757254
0,000571832979476292
0,000617126680820948
0,00013588110403397
0,000469922151450814
0,00100212314225053
0,000407643312101911
3,39702760084926E-05
0,00124557678697806
0,000413305024769993
0,000441613588110403
0,00118329794762916
0,00197593772116065
0,00083793347487615
0,000192498230714791
7,92639773531493E-05
6,79405520169851E-05
0,000152866242038217
0,000537862703467799
0,000373673036093418
0,000905874026893135
0,00107006369426752
0,00165322009907997
0,000645435244161359
0,00277990092002831
0,0003793347487615
0,000260438782731776
0,000260438782731776
0,000769992922859165
0,0010757254069356
0,000854918612880396
0,000554847841472045
7,92639773531493E-05
0,0003793347487615
0,000141542816702052
0,000384996461429582
0,000124557678697806
0,000600141542816702
0,000198159943382873
0,0028761500353857
0,00080962491153574
0,0003793347487615
0,000532200990799717
0,0067034677990092
0,000537862703467799
0,000118895966029724
0,000435951875442321
0,000583156404812456
0,000401981599433829
0,000554847841472045
0,000277423920736023
0,000736022646850672
5,66171266808209E-05
3,96319886765747E-05
0,000130219391365888
0,000724699221514508
0,000758669497523001
0,000169851380042463
0,000220806794055202
0,00100212314225053
1,69851380042463E-05
0,000673743807501769
0,00177777777777778
0,000300070771408351
0,00121726822363765
0,000362349610757254
0,00062278839348903
0,000475583864118896
0,00103043170559094
0,00316489738145789
0,000192498230714791
0,00024345364472753
0,000475583864118896
0,000719037508846426
0,00185138004246285
0,000345364472753008
0,000792639773531493
0,000101910828025478
0,000724699221514508
